gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3450278972	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1048	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	43.851217	13.048883							2011-06-01T00:00:00		6	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1048				CC0_1_0					2023-03-09T02:17:02.619Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278971	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2365	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	44.099481	9.719008							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2365				CC0_1_0					2023-03-09T02:17:02.615Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278970	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1049	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Aurelia			GENUS	Aurelia Lamarck, 1816	Aurelia		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	44.683225	12.276214							2011-06-01T00:00:00		6	2011	7626211		HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1049				CC0_1_0					2023-03-09T02:17:02.618Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278969	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1035	Animalia	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	Aequorea forskalea		SPECIES	Aequorea forskalea Péron & Lesueur, 1810	Aequorea forskalea		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	41.148322	9.058225							2011-08-01T00:00:00		8	2011	2267497	2267497	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1035				CC0_1_0					2023-03-09T02:17:02.615Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278968	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN3695	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	42.764131	10.395911							2013-08-01T00:00:00		8	2013	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN3695				CC0_1_0					2023-03-09T02:17:02.615Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278967	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2370	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	40.827642	14.314803							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2370				CC0_1_0					2023-03-09T02:17:02.616Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278966	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2364	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	38.521167	14.933614							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2364				CC0_1_0					2023-03-09T02:17:02.614Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278965	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN1036	Animalia	Cnidaria	Hydrozoa	Leptothecata	Aequoreidae	Aequorea	Aequorea forskalea		SPECIES	Aequorea forskalea Péron & Lesueur, 1810	Aequorea forskalea		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	37.937014	12.329881							2011-09-01T00:00:00		9	2011	2267497	2267497	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN1036				CC0_1_0					2023-03-09T02:17:02.614Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278964	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN3696	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	42.802564	10.352883							2013-08-01T00:00:00		8	2013	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN3696				CC0_1_0					2023-03-09T02:17:02.615Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3450278963	72de2856-c6aa-407d-a6f1-4d2e23df4161	CSJELLY_CSJN2367	Animalia	Cnidaria	Scyphozoa	Semaeostomeae	Pelagiidae	Pelagia	Pelagia noctiluca		SPECIES	Pelagia noctiluca (Forsskål, 1775)	Pelagia noctiluca		IT			PRESENT		2089ce96-4fb5-4a20-999c-3ccf45a27a4d	40.0003	15.369058							2012-08-01T00:00:00		8	2012	2264423	2264423	HUMAN_OBSERVATION		Jellyfish sightings along the Italian coastline from 2009 to 2017	CSJELLY_CSJN2367				CC0_1_0					2023-03-09T02:17:02.613Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
